,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
14,Austria,AUT,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.92871,29.29272,27.16046,27.05851,27.00313,27.87828,26.59278,25.39476,25.70922,25.40733,26.29943,29.28391,28.43686,29.42218,26.71204,27.58908,27.05619,27.293,27.72044,,,,,,,
17,Belgium,BEL,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52636,,,,,,,,,,
21,Bulgaria,BGR,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03489,,,18.35665,18.06848,19.76148,10.2099,21.24879,20.16032,19.53311,22.67286,23.35568,23.08243,20.71572,19.05691,22.18229,,,,,,,,,,
53,Cyprus,CYP,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.27326,27.34898,28.15135,31.00717,33.95926,31.40003,32.41409,32.20445,32.53328,34.58471,37.3322,36.8753,37.82297,,38.33015,37.24,39.39051,39.29112,,,,,,,
54,Czechia,CZE,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86689,20.09986,19.44741,19.2471,20.59708,21.30214,21.12918,20.9006,21.09548,20.1969,20.79512,23.27179,23.26577,23.84082,24.1497,23.74451,23.53828,23.6677,22.30415,,,,,,,
55,Germany,DEU,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10304,,,,,,,,20.29257,21.09132,21.07791,23.85787,23.88146,22.84118,23.04534,23.18698,23.19245,23.00137,22.95939,,,,,,,
58,Denmark,DNK,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.16651,37.26457,37.21646,33.88395,34.84693,33.90776,34.44315,34.25592,33.52992,31.34546,30.44643,31.87939,32.50974,29.22918,27.67433,27.91977,31.13589,,,,,,,,,
70,Spain,ESP,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87749,24.05752,22.833,22.10772,22.83037,23.18286,23.213,22.88599,23.46748,23.70022,25.37782,27.61234,26.05485,25.89151,21.01442,18.50276,18.22419,18.49989,18.88163,,,,,,,
71,Estonia,EST,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.27547,27.3503,,25.1553,25.05491,26.16631,24.89156,23.04911,,22.93953,28.77094,32.12687,30.97741,26.74646,27.10011,23.20386,23.77379,22.25324,21.17125,,,,,,,
75,Finland,FIN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93597,23.22704,24.30857,25.32816,25.99888,31.06666,30.83827,30.50341,29.59148,30.83062,34.36908,34.8965,34.70223,25.94711,26.1282,26.07076,25.80386,24.75238,,,,,,,
77,France,FRA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8291,28.40943,,,29.88208,29.29764,27.22036,27.19799,26.61552,27.04691,28.70418,28.38317,27.17835,26.82868,26.72217,26.78417,26.46082,26.28009,,,,,,,
81,United Kingdom,GBR,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65895,21.09702,21.87505,21.94317,23.63757,25.01142,23.79821,23.47328,24.47537,25.57833,26.49489,28.43834,31.19587,29.46259,,22.60496,22.87626,23.05669,21.18688,,,,,,,
89,Greece,GRC,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95358,14.43964,19.2162,17.38923,16.83906,19.13739,19.42418,20.66077,,,,,,,,,,23.52266,23.02147,,,,,,,
99,Croatia,HRV,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Hungary,HUN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96366,18.61814,20.04444,19.46928,20.45283,26.08295,23.05623,22.6056,22.7505,22.86989,22.40992,22.1381,21.2401,20.45278,18.50098,16.31046,23.07045,21.17405,23.05651,,,,,,,
111,Ireland,IRL,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89746,16.40665,15.881,16.57645,17.19065,18.51165,20.12035,20.64926,21.55856,22.52579,26.759,28.67095,27.67082,27.56937,25.84874,23.72087,21.61642,16.4223,15.94208,,,,,,,
116,Italy,ITA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.45973,26.66567,25.61669,28.96487,25.89904,27.12478,25.90226,25.41326,26.91962,23.82647,25.24489,25.25676,23.94346,22.57048,22.53656,22.90814,22.22138,22.90489,,,,,,,,
143,Lithuania,LTU,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6426,20.67074,19.32105,19.49586,18.97511,21.28845,25.74526,21.47123,19.26853,18.51143,18.30123,18.28679,17.42974,17.89823,,,,,,,
144,Luxembourg,LUX,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.40646,22.38807,22.60367,20.22111,18.5065,22.25933,,19.89421,17.70726,21.60472,19.89466,20.53711,19.40807,,,,,,,,
145,Latvia,LVA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.13865,23.03834,22.97599,22.86299,24.01232,24.62165,22.93571,22.5048,,17.3995,21.72997,26.16182,30.33621,27.765,25.83417,34.982,36.94747,27.415,28.27553,26.43476,,,,,,,
159,Malta,MLT,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79012,,,,20.36733,,17.24774,,,27.82559,31.51155,,32.91001,65.04481,40.50117,39.16536,34.51957,29.54522,,,,,,,,
176,Netherlands,NLD,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95678,,,,,,,,,,,,,,,,,22.73967,23.12418,,,,,,,
190,Poland,POL,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81468,,,,19.81825,19.68689,21.37206,22.0079,22.87955,21.77817,22.70049,23.74239,24.09019,23.31435,22.38784,22.88532,22.73332,22.34623,22.56102,,,,,,,
194,Portugal,PRT,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39854,27.45393,28.86026,28.96929,29.5211,32.70983,32.41884,31.53999,30.14913,30.21151,37.1795,34.8872,32.56221,27.56725,30.61593,29.07866,27.69333,,,,,,,,
201,Romania,ROU,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8321,14.68813,15.81047,8.85216,15.6459,15.58671,15.63875,13.88837,11.84421,12.52425,13.97064,16.27173,16.19413,15.1606,,,,,,,
221,Slovak Republic,SVK,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93639,,18.14052,15.85101,16.3786,18.26466,17.10819,16.50568,14.92814,14.46808,14.3347,14.65799,17.8898,18.94678,17.98288,18.4171,20.10297,20.95832,21.11401,20.08462,,,,,,,
222,Slovenia,SVN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1071,24.05205,24.32286,,,,,,,30.54208,30.79892,29.50126,25.82525,25.09888,23.9989,23.0407,,,,,,,
223,Sweden,SWE,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00342,24.8775,24.42232,24.13673,24.33024,24.34073,31.60848,30.73941,29.90281,29.01087,29.16087,31.16577,30.18899,31.04577,24.67428,24.79329,24.47355,23.58743,23.75742,,,,,,,
